,nfeatures,nmatches,ngoodmatches,reproj_error,ex_time
0,1667,1667,30,0.3482553308660334,0.2381730079650879
0,1720,1720,24,0.0,0.16207194328308105
0,1690,1690,24,0.5001561091496394,0.7817931175231934
0,1719,1719,8,3.4789810180664062,0.1062479019165039
0,1725,1725,26,0.6733030319213867,0.26942086219787603
0,1717,1717,30,0.7539938146417792,1.4993629455566406
0,1759,1759,32,0.6706266403198242,0.1841590404510498
0,1751,1751,33,1.0000398423936632,0.17949700355529785
0,1773,1773,34,0.9405958993094308,0.4630999565124512
0,1786,1786,34,1.036644172668457,0.17516708374023438
0,1792,1792,33,0.9925799369812012,0.7330420017242432
0,1799,1799,39,0.9915737249912361,0.3578920364379883
0,1812,1812,42,1.0366313768469768,0.2243299484252929
0,1804,1804,41,1.003695583343506,0.3178210258483887
0,1807,1807,8,2.314788818359375,0.1515820026397705
0,1832,1832,47,0.7819997097583528,0.17410683631896973
0,1810,1810,15,1.3915252685546875,0.18210697174072266
0,1825,1825,7,72.76355616251628,0.07986593246459961
0,1169,1169,49,0.0,0.10341811180114746
0,1177,1177,48,0.0,0.15571093559265134
0,1200,1200,8,17.819443225860592,0.1233530044555664
0,1326,1326,45,0.0,0.1723179817199707
0,1381,1381,46,0.0,0.2565650939941406
0,1386,1386,45,0.0,0.2962648868560791
0,1383,1383,8,14.12865924835205,0.18563008308410645
0,1478,1478,25,0.0,0.2787048816680908
0,1452,1452,26,0.0,0.19564414024353027
0,1507,1507,8,0.0,0.1559739112854004
0,1597,1597,50,0.0,0.1424860954284668
0,1613,1613,50,0.0,0.21976017951965326
0,1597,1597,8,506.41625452041626,0.14059114456176758
0,1548,1548,48,0.0,0.4075779914855957
0,1533,1533,47,4.456259987571023e-05,0.2039501667022705
0,1516,1516,9,0.0,0.13835811614990234
0,1539,1539,42,0.0,0.8242840766906738
0,1510,1510,40,6.7901611328125e-05,0.7077791690826416
0,1552,1552,39,0.00024003248948317304,0.5942509174346924
0,1559,1559,8,1.2403520856584822,0.13899707794189453
0,1659,1659,42,0.0,0.11586403846740725
0,1651,1651,34,0.0,0.17617011070251465
0,1669,1669,11,0.0,0.16271400451660156
0,1637,1637,44,0.0,17.22142195701599
0,1605,1605,43,0.4974321932406039,5.518952131271362
0,1578,1578,8,0.0,0.16841793060302734
0,1539,1539,42,0.0,0.3829059600830078
0,1515,1515,36,0.4976298014322917,21.319286108016968
0,1524,1524,31,0.5680088716394761,0.20532798767089844
0,1524,1524,8,0.0,0.1853799819946289
0,1465,1465,50,0.0,0.1627371311187744
0,1457,1457,50,0.0,0.1909480094909668
0,1408,1408,8,0.2135272026062012,0.1347370147705078
0,1186,1186,23,0.7573553997537364,0.10829401016235353
0,1173,1173,24,0.0,0.10408592224121094
0,1146,1146,8,0.0,0.07012009620666504
0,833,833,24,0.7166827519734701,0.1051950454711914
0,807,807,24,0.0,0.11485004425048828
0,803,803,24,0.0,0.3404109477996826
0,787,787,8,25.066724141438797,0.04518294334411621
0,614,614,29,9.61967136548913e-05,0.07560396194458008
0,602,602,15,0.103521728515625,0.08083605766296388
0,573,573,8,6.69073486328125,0.0544579029083252
0,1031,1031,40,0.4993047153248506,0.07347798347473145
0,1037,1037,38,0.5796427572927167,0.10158300399780272
0,1060,1060,39,1.0580142974853517,0.11050987243652344
0,1038,1038,8,0.0,0.08189201354980469
0,938,938,20,0.0,0.06313204765319824
0,909,909,8,0.4635932922363281,0.05420494079589844
0,905,905,7,0.4635932922363281,0.05112481117248535
0,139,139,36,0.00024177288186961207,0.15429282188415527
0,138,138,33,0.0,0.04535484313964844
0,133,133,8,11.401932307652064,0.02937912940979004
0,50,50,20,0.0,0.07467389106750487
0,50,50,14,0.0,0.0364530086517334
0,61,61,22,0.0,0.03527688980102539
0,62,62,8,0.0,0.03023982048034668
0,67,67,30,0.0,0.03571820259094238
0,77,77,32,0.3906672159830729,0.05701398849487305
0,81,81,39,0.0,0.07129907608032228
0,80,80,8,0.6451426914760044,0.03977489471435547
0,72,72,19,0.0,0.05587196350097656
0,68,68,14,0.0,0.039117097854614265
0,64,64,8,6.56511470249721,0.028336048126220707
0,48,48,9,0.0,0.027694225311279297
0,43,43,16,0.5840354919433594,0.04240512847900391
0,47,47,16,0.5446285671657987,0.03958392143249512
0,42,42,14,0.0,0.04728984832763672
0,52,52,16,0.5700588226318359,0.04957699775695802
0,54,54,17,0.0,0.032993078231811516
0,51,51,8,0.0,0.028031110763549805
0,50,50,23,1.300569670540946,0.036171913146972656
0,53,53,8,0.0,0.03749585151672363
0,47,47,8,0.0,0.030551910400390625
0,49,49,15,0.0,0.09855508804321288
0,49,49,8,1.3284838540213448,0.02654600143432617
0,48,48,8,2.636974334716797,0.02834486961364746
0,44,44,8,0.5435531616210938,0.027263879776000977
0,40,40,16,0.5417569478352865,0.04734301567077637
