,"nfeatures","nmatches","ngoodmatches","reproj_error","ex_time"
0,819,819,15,"0,4351899283","0,3450751305"
0,800,800,13,"0,5748079473","0,343162775"
0,792,792,13,0,"0,3248307705"
0,848,848,14,"1,5478599548","0,3698189259"
0,877,877,14,"1,4249596596","0,3635840416"
0,876,876,14,"0,6858100891","0,3668210506"
0,883,883,13,"18,6846392705","0,3711819649"
0,1036,1036,14,"0,6560409546","0,4233570099"
0,1035,1035,14,0,"0,4129090309"
0,1037,1037,14,0,"0,3919761181"
0,1061,1061,15,0,"0,4081881046"
0,1019,1019,15,"1,6190434138","0,39960289"
0,1002,1002,13,"22,1817386334","0,3881881237"
0,1051,1051,15,"2,1474353472","0,4306809902"
0,1036,1036,15,0,"0,4301981926"
0,1072,1072,14,"37,3770166125","0,4057528973"
0,993,993,14,"1,7833025257","0,4471130371"
0,983,983,14,"1,2676698245","1,0386710167"
0,967,967,13,"11,9708627554","0,4104659557"
0,971,971,15,"0,132033128","0,4269998074"
0,939,939,14,"0,3215554555","0,3774020672"
0,948,948,13,0,"0,3643980026"
0,892,892,13,"0,9238028093","0,3710751534"
0,910,910,15,"0,0793709755","0,430314064"
0,878,878,13,"12,2950973511","0,397395134"
0,782,782,13,"1,4981203946","0,3244700432"
0,755,755,13,"0,3749084473","0,428622961"
0,738,738,13,0,"0,3459148407"
0,884,884,14,"1,3966126442","0,3714170456"
0,916,916,14,0,"0,4160549641"
0,903,903,13,"20,9825967153","0,4018309116"
0,1038,1038,14,0,"0,4204480648"
0,1070,1070,13,0,"0,4368429184"
0,1058,1058,15,0,"0,3624010086"
0,849,849,13,"0,9197324117","0,3718550205"
0,839,839,13,"0,7703781128","0,391824007"
0,884,884,13,"0,385761261","0,3602850437"
0,850,850,14,0,"0,3411900997"
0,810,810,14,"0,7113037109","0,3486189842"
0,850,850,14,"2,351209913","0,959777832"
0,817,817,14,0,"0,3428590298"
0,799,799,14,"5,81378479","0,3359208107"
0,771,771,13,"1,6722409175","0,3348140717"
0,770,770,13,"0,1700116671","0,3311450481"
0,767,767,10,0,"0,2669861317"
0,546,546,12,0,"0,2701148987"
0,565,565,13,"0,7422899519","0,2781062126"
0,537,537,12,0,"0,2692139149"
0,689,689,12,0,"0,2981410027"
0,672,672,13,0,"0,3185939789"
0,669,669,13,"2,4572290274","0,3223900795"
0,744,744,13,0,"0,323969841"
0,752,752,14,"0,2285168966","0,3322131634"
0,752,752,13,"0,6029980977","0,4348609447"
0,787,787,13,"1,5041446686","0,3474509716"
0,799,799,14,"1,2611592157","0,3382258415"
0,774,774,12,0,"0,2823398113"
0,655,655,13,"0,0242536251","0,3071491718"
0,650,650,13,0,"0,3084950447"
0,644,644,13,0,"0,2990400791"
0,656,656,13,"25,4130828857","0,289274931"
0,608,608,14,"0,4694245656","0,2894060612"
0,603,603,14,"0,3924299876","0,3005540371"
0,611,611,15,"3,0825230916","0,2911019325"
0,537,537,14,0,"0,2722718716"
0,515,515,13,"1,7461662292","0,2810828686"
0,567,567,13,"18,5571036706","0,2798719406"
0,609,609,13,0,"0,2907500267"
0,599,599,13,"0,375600179","0,2892098427"
0,571,571,12,0,"0,2640480995"
0,552,552,13,"0,2517527067","0,3241100311"
0,603,603,13,"2,9681959886","0,288921833"
0,611,611,12,0,"0,268556118"
0,614,614,13,"0,0428820523","0,3064520359"
0,611,611,14,"0,0102746146","0,3103132248"
0,595,595,13,"3,9252868065","0,320098877"
0,652,652,12,"0,5139842033","0,2716259956"
0,547,547,13,"0,8107012235","0,2865290642"
0,585,585,14,"0,1413672311","0,2846190929"
0,566,566,12,0,"0,2529211044"
0,457,457,12,"1,6260008378","0,2623679638"
0,463,463,14,"0,8259391785","0,2649669647"
0,457,457,12,"17,6658782959","0,2424590588"
0,398,398,13,0,"0,2548248768"
0,416,416,13,"0,3073709661","0,263240099"
0,394,394,12,"2,3312774658","0,2392830849"
0,397,397,15,"0,7787742615","0,2532019615"
0,407,407,11,0,"0,235708952"
0,342,342,12,"5,152457873","0,2368218899"
0,399,399,13,"0,3973963811","0,2466549873"
0,344,344,14,"0,5599654805","0,2574088573"
0,370,370,13,"0,6094882672","0,2556769848"
0,391,391,12,0,"0,2443869114"
0,382,382,12,"2,3476842244","0,2421498299"
0,455,455,14,"0,0576667786","0,263461113"
0,463,463,15,"0,4223175049","0,2650959492"
0,428,428,13,"0,1466674805","0,2684631348"
0,464,464,13,"0,3435891958","0,2703220844"
0,466,466,13,0,"0,2753989697"
0,359,359,13,"0,2124824524","0,2511100769"
0,348,348,13,0,"0,2435998917"
0,326,326,12,"1,5049743652","0,2337989807"
0,367,367,12,"23,3856567383","0,2267980576"
0,254,254,14,"0,8265533447","0,2359249592"
0,229,229,12,"2,3190235138","0,2300231457"
0,255,255,14,"1,3360443115","0,2412970066"
0,250,250,14,0,"0,5961050987"
0,245,245,11,0,"0,2257809639"
0,235,235,12,"0,3998311361","0,2233130932"
0,270,270,14,0,"0,2404839993"
0,277,277,13,"0,8715820313","0,242497921"
0,265,265,14,"1,2373695374","0,247505188"
0,259,259,11,0,"0,2231810093"
0,226,226,13,"0,4856765747","0,2367579937"
0,238,238,13,"0,9698235648","0,2365880013"
0,217,217,12,"2,9467074076","0,218775034"
0,222,222,14,"0,0967291423","0,2415189743"
0,248,248,10,"6,8245773315","0,2158408165"
0,177,177,12,"0,3562360491","0,215485096"
0,181,181,11,"0,2791061401","0,2128629684"
0,154,154,14,"0,6605987549","0,2261941433"
0,166,166,13,"21,6255207062","0,2273440361"
0,102,102,12,"2,7850049337","0,2095990181"
0,87,87,11,"0,7308220863","0,2044069767"
0,83,83,10,"0,1223983765","0,2084717751"
0,90,90,10,"0,1347885132","0,2031588554"
0,84,84,6,"0,1347885132","0,1864058971"
0,46,46,9,"0,3880991936","0,2025611401"
0,41,41,9,"13,6679772271","0,1940290928"
0,42,42,8,"1,2073013306","0,1968619823"
0,42,42,4,"1,2073013306","0,189565897"
0,38,38,10,0,"0,2011802197"
0,36,36,8,"0,4408433097","0,1905009747"
0,39,39,9,0,"0,195016861"
0,43,43,7,"0,4897003174","0,1910021305"
0,38,38,8,"0,62048769","0,197865963"
0,41,41,6,"0,62048769","0,1839499474"
0,71,71,9,"0,1070325375","0,2054560184"
0,70,70,9,"0,3179337184","0,1925280094"
0,67,67,10,"0,7706707716","0,2083392143"
0,68,68,10,"0,898604393","0,2055540085"
0,70,70,8,"2,9714934031","0,1993780136"
0,79,79,11,"1,2927595485","0,2112820148"
0,74,74,11,"0,0784400593","0,2090089321"
0,85,85,8,"0,7096602122","0,2053711414"
0,91,91,13,"1,9201498765","0,2229959965"
0,97,97,12,0,"0,2059631348"
0,99,99,10,0,"0,2092590332"
0,116,116,11,"1,4331058926","0,2079889774"
0,105,105,11,"0,1185731888","0,2128930092"
0,113,113,12,"0,6459960938","0,2071988583"
0,108,108,8,"28,7666824341","0,2039949894"
0,88,88,12,"5,2228830655","0,2090139389"
0,96,96,12,"0,4115298589","0,2075529099"
0,110,110,12,"0,3096443176","0,2111859322"
0,83,83,9,"0,4710150825","0,2040688992"
0,94,94,8,"2,4862681798","0,1942560673"
0,54,54,11,"0,0612096786","0,193780899"
0,46,46,9,0,"0,1939780712"
0,48,48,8,0,"0,2054450512"
0,40,40,8,0,"0,191603899"
0,44,44,10,0,"0,2011921406"
0,52,52,10,"0,5376045227","0,1947321892"
0,44,44,9,0,"0,1969509125"
0,52,52,11,"0,2712504069","0,194231987"
0,41,41,8,"0,2780570984","0,1899440289"
0,36,36,10,0,"0,1929969788"
0,51,51,9,0,"0,2038469315"
0,39,39,11,"0,2800941467","0,1911160946"
0,58,58,10,"0,180424118","0,1975638866"
0,50,50,9,"21,4788869222","0,1980969906"
0,57,57,11,"0,124533844","0,2053170204"
0,48,48,10,"11,2575107151","0,2008311749"
0,51,51,10,"0,7822341919","0,2024438381"
0,64,64,13,"15,987353007","0,2180399895"
0,64,64,12,"1,0326385498","0,2080960274"
0,56,56,8,"6,495010376","0,1949079037"
0,85,85,12,"2,3582191467","0,2094268799"
0,88,88,11,"1,7715377808","0,2055690289"
0,93,93,12,0,"0,2083969116"
0,96,96,13,"1,9573287964","0,2196779251"
0,94,94,10,"14,8096476964","0,2064070702"
0,105,105,11,0,"0,2094740868"
0,105,105,11,"0,8776647394","0,2161829472"
0,107,107,13,"0,835887042","0,224891901"
0,119,119,12,"1,0267944336","0,2107889652"
0,101,101,12,"2,1194179535","0,2144341469"
0,94,94,10,"3,6317851707","0,209348917"
0,89,89,12,"0,2944359779","0,2072441578"
0,107,107,13,"3,5240783691","0,2169890404"
0,98,98,14,"1,0907761256","0,2244410515"
0,88,88,9,"25,1484178816","0,2080738544"
0,73,73,14,"1,1766374376","0,222992897"
0,76,76,12,"0,7983917236","0,2065730095"
0,86,86,10,"1,005235672","0,2042489052"
0,75,75,11,"0,2854766846","0,2049679756"
0,87,87,9,"23,5296588474","0,1967389584"
0,78,78,13,"0,2267840459","0,2207150459"
0,69,69,13,"0,6868327214","0,2237050533"
0,74,74,10,"1,839805603","0,2033140659"
0,72,72,11,"2,5351273673","0,2070031166"
0,63,63,10,0,"0,1998090744"
0,67,67,8,"53,9276580811","0,2011990547"
0,58,58,10,"0,097543335","0,2082660198"
0,59,59,9,"9,3347996303","0,2026748657"
0,56,56,9,"0,0295130412","0,2017629147"
0,54,54,7,"0,0295130412","0,1948759556"
0,60,60,11,"2,8559544881","0,2093629837"
0,50,50,9,"1,4581459893","0,2057058811"
0,47,47,11,"0,0485572815","0,2088780403"
0,62,62,10,"0,0362350464","0,2028999329"
