,"nfeatures","nmatches","ngoodmatches","reproj_error","ex_time"
0,951,951,15,0,"0,4018280506"
0,986,986,14,0,"0,4043960571"
0,984,984,15,"0,3747634888","0,4056658745"
0,963,963,14,"0,6298833575","0,3921217918"
0,907,907,7,0,"0,3124239445"
0,932,932,14,0,"0,3687310219"
0,892,892,15,0,"0,37698102"
0,861,861,14,"0,2057690091","0,3629598618"
0,907,907,15,"1,2781056722","0,3620550632"
0,874,874,12,0,"0,2911040783"
0,716,716,14,"0,3994057395","0,3334760666"
0,764,764,13,"0,8126989511","0,350659132"
0,707,707,13,"0,5155559116","0,3285620213"
0,737,737,14,"0,386971065","0,3317718506"
0,747,747,13,0,"0,2976179123"
0,640,640,15,"1,533732781","0,3122620583"
0,639,639,14,"2,0214487712","0,2959749699"
0,609,609,13,"3,1943374047","0,2902960777"
0,573,573,14,"1,3440887451","0,2946388721"
0,584,584,11,"21,9878387451","0,2599799633"
0,614,614,13,"0,3002226693","0,2915508747"
0,618,618,13,0,"0,3023569584"
0,621,621,13,"0,5162248611","0,2949719429"
0,595,595,14,"13,2883781433","0,4377679825"
0,797,797,15,"0,9825747808","0,3306770325"
0,762,762,15,"1,2808242798","0,3394141197"
0,757,757,13,"1,273206075","0,344440937"
0,761,761,14,"1,617643765","0,3255929947"
0,750,750,7,"1,617643765","0,2838110924"
0,877,877,14,"1,4249596596","0,3801867962"
0,876,876,14,"0,6858100891","0,3735430241"
0,883,883,13,"1,2646617889","0,5779480934"
0,901,901,13,"1,4244467662","0,6384730339"
0,897,897,12,"19,6026368141","0,3359911442"
0,1005,1005,15,0,"0,4103810787"
0,1061,1061,15,0,"0,4136161804"
0,1019,1019,15,"1,6190434138","0,4083731174"
0,1002,1002,12,"35,9231128693","0,3538300991"
0,1031,1031,15,"1,2257006963","0,4165129662"
0,1037,1037,14,0,"0,4099481106"
0,1045,1045,14,0,"0,4066181183"
0,985,985,13,0,"0,4108560085"
0,1048,1048,12,0,"0,3559100628"
0,966,966,14,0,"0,4065761566"
0,971,971,15,"0,132033128","0,4013259411"
0,939,939,14,"0,3215554555","0,3909399509"
0,948,948,14,"1,1118376596","0,401542902"
0,967,967,13,0,"0,3547070026"
0,867,867,13,"0,1330330589","0,3589799404"
0,873,873,14,"0,6297923497","0,4167780876"
0,868,868,16,0,"0,3567790985"
0,841,841,14,"0,383605957","0,3620331287"
0,814,814,12,0,"0,3099389076"
0,791,791,14,0,"0,3464050293"
0,814,814,13,"0,7142357459","0,3574810028"
0,835,835,14,"1,0477665492","0,3681349754"
0,870,870,14,0,"0,415733099"
0,1040,1040,15,"0,880615928","0,4252150059"
0,1061,1061,15,"0,7586686876","0,4366490841"
0,1069,1069,15,0,"0,416613102"
0,1066,1066,13,"0,3835258484","0,4328939915"
0,1038,1038,13,"12,856962204","0,395015955"
0,800,800,15,"0,4845550537","0,3478929996"
0,832,832,14,0,"0,3388841152"
0,813,813,15,"1,3252304077","0,3562920094"
0,836,836,13,"7,4625995343","0,3578197956"
0,830,830,13,0,"0,3260271549"
0,767,767,13,"1,7911949158","0,3264000416"
0,747,747,13,0,"0,3303599358"
0,747,747,13,0,"0,3294651508"
0,787,787,13,"0,2428131104","0,3312268257"
0,730,730,12,0,"0,2684969902"
0,562,562,13,0,"0,2953140736"
0,523,523,13,"0,7696844248","0,2754538059"
0,489,489,12,"0,7981214523","0,2588400841"
0,520,520,12,0,"0,2656061649"
0,514,514,11,"29,4440205892","0,2721631527"
0,726,726,16,"0,1408426921","0,3194019794"
0,747,747,13,0,"0,3245248795"
0,727,727,15,0,"0,3299241066"
0,736,736,12,0,"0,3019399643"
0,772,772,14,0,"0,3363208771"
0,775,775,14,"0,028503418","0,3251259327"
0,780,780,13,"0,0550224998","0,5060279369"
0,770,770,13,"0,6059345669","0,3336610794"
0,775,775,12,0,"0,2857739925"
0,633,633,13,"0,1347146034","0,3128130436"
0,638,638,14,"0,0179792132","0,3335309029"
0,620,620,13,"0,0553642273","0,3046979904"
0,644,644,15,"0,3344966343","0,300483942"
0,628,628,14,0,"0,2735421658"
0,542,542,13,"0,7506891886","0,2892467976"
0,566,566,13,0,"0,2867019176"
0,555,555,13,"0,5147705078","0,2870221138"
0,596,596,15,"0,9012247721","0,288985014"
0,585,585,12,0,"0,2703568935"
0,600,600,12,"0,0080286662","0,2813448906"
0,608,608,12,"0,597745722","0,2853109837"
0,618,618,13,"0,3632724469","0,3007950783"
0,617,617,12,0,"0,2653541565"
0,601,601,13,0,"0,2910060883"
0,605,605,12,0,"0,2851688862"
0,630,630,13,"0,4697254726","0,3027410507"
0,619,619,13,"0,1622229682","0,3010849953"
0,604,604,13,0,"0,394356966"
0,552,552,12,"1,0810435613","0,2751710415"
0,569,569,12,"0,2004817327","0,2789039612"
0,568,568,13,"0,4127050546","0,2968080044"
0,545,545,13,"0,0127792358","0,2989859581"
0,547,547,12,0,"0,2546899319"
0,422,422,13,"0,560857137","0,263792038"
0,439,439,12,"0,027247111","0,2553098202"
0,431,431,13,"1,2471383902","0,2635657787"
0,444,444,14,"0,7215033637","0,2654089928"
0,425,425,12,0,"0,2356610298"
0,349,349,12,"0,0721944173","0,2391879559"
0,363,363,13,0,"0,2493970394"
0,342,342,12,"5,152457873","0,2454419136"
0,399,399,13,"0,3973963811","0,2463359833"
0,344,344,12,"16,4486080805","0,2370679379"
0,455,455,14,"0,0576667786","0,2637960911"
0,463,463,15,"0,4223175049","0,2592000961"
0,428,428,13,"0,1466674805","0,2656228542"
0,464,464,12,0,"0,2388429642"
0,390,390,13,"0,3347888523","0,2559380531"
0,359,359,13,"0,2124824524","0,2530400753"
0,348,348,13,0,"0,2511570454"
0,326,326,12,"1,5049743652","0,2316160202"
0,367,367,14,"2,4321899414","0,2491989136"
0,273,273,12,0,"0,2280340195"
0,261,261,14,0,"0,238052845"
0,249,249,14,0,"0,228662014"
0,262,262,15,0,"0,2432820797"
0,277,277,13,"0,8715820313","0,2451679707"
0,265,265,14,"1,2373695374","0,2390880585"
0,259,259,12,"0,2077222552","0,2225430012"
0,270,270,12,"0,2300691605","0,2318029404"
0,249,249,13,"0,2454147339","0,2352099419"
0,271,271,12,"4,3852378845","0,2202570438"
0,229,229,12,0,"0,2308838367"
0,232,232,13,"1,2704900106","0,2324500084"
0,211,211,12,"2,8770966963","0,2218530178"
0,234,234,13,"5,2276916504","0,2289440632"
0,166,166,12,0,"0,2101590633"
0,152,152,15,"0,6273742676","0,2219378948"
0,144,144,12,0,"0,2147262096"
0,158,158,13,"0,4056274414","0,2341301441"
